Date,T2M_MAX,T2M_MIN,T2M,T2MDEW,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS2M,PS,ReferenceET,Ra,EstimatedElevation_m
1981-06-17,34.7,27.15,30.99,20.51,0.65,,2.86,98.26,,37.94670522091269,258.1077831204352
1981-06-18,35.62,26.86,31.21,20.49,1.87,,2.76,98.33,,37.9410090621697,258.1077831204352
1981-06-19,34.98,26.13,30.86,20.14,1.03,,1.88,98.36,,37.935791096349284,258.1077831204352
1981-06-20,34.73,26.67,30.42,21.28,7.87,,2.21,98.35,,37.93105669700293,258.1077831204352
1981-06-21,32.38,25.24,28.72,22.25,3.93,,3.02,98.36,,37.92680954840513,258.1077831204352
1981-06-22,32.07,24.51,28.46,21.83,5.32,,2.82,98.28,,37.92305164309884,258.1077831204352
1981-06-23,31.18,25.02,28.04,21.56,1.85,,3.91,98.26,,37.91978328142901,258.1077831204352
1981-06-24,35.12,23.8,29.46,20.01,3.78,,3.31,98.32,,37.91700307306078,258.1077831204352
1981-06-25,35.25,24.62,30.11,19.97,1.52,,2.1,98.42,,37.91470794047922,258.1077831204352
1981-06-26,37.84,25.37,31.56,20.16,2.05,,2.43,98.26,,37.91289312446638,258.1077831204352
1981-06-27,35.15,25.76,30.41,20.38,0.52,,3.22,98.13,,37.911552191552275,258.1077831204352
1981-06-28,37.1,25.05,31.08,20.08,1.19,,2.95,98.15,,37.91067704343457,258.1077831204352
1981-06-29,34.05,25.27,29.5,20.57,2.26,,3.0,98.21,,37.91025792836291,258.1077831204352
1981-06-30,36.03,24.74,30.13,20.58,2.37,,3.54,98.21,,37.910283454482055,258.1077831204352
1981-07-01,35.58,25.67,30.03,21.79,9.52,,3.1,98.12,,37.91074060512867,258.1077831204352
1981-07-02,36.21,24.63,29.85,19.96,2.0,,4.28,98.21,,37.91161475607513,258.1077831204352
1981-07-03,34.58,23.96,29.45,19.84,1.4,,1.97,98.33,,37.912889694713634,258.1077831204352
